t,neuron
839.2,1500
839.5,8400
839.6,5700
839.7,3400
839.8,5500
839.8,10200
842.2,4700
842.4,11300
842.4,11400
843,9900
844,7300
845,5600
846,2000
857.8,4600
857.9,8500
866.8,10700
871.7,2600
872.9,2100
875.1,500
875.5,4900
876.1,9500
876.3,6000
876.6,3400
877.5,8400
877.6,6100
878.2,4200
878.5,12100
878.8,3200
879.2,11200
879.7,5000
879.8,700
879.9,5500
880,10500
880.2,2200
880.3,7500
880.6,300
880.6,11700
880.7,5800
880.9,9900
881.7,4000
881.7,7100
881.9,6500
882.2,6200
882.3,3100
882.3,9300
882.3,10400
882.4,3700
882.4,5300
882.6,1900
882.6,6900
882.7,3000
882.8,2700
882.9,1300
882.9,4700
882.9,6400
882.9,7600
883,2400
883.1,400
883.2,2800
883.2,11800
883.3,7300
883.3,9200
883.3,10100
883.3,11100
883.4,1800
883.4,8500
883.4,11600
883.5,5100
883.5,8600
883.6,4600
883.8,5400
883.8,5700
883.8,6700
883.9,8000
884,4400
884.1,1200
884.3,5600
884.7,5200
884.9,10200
885.4,1700
885.8,8700
886.4,1400
886.7,1100
889.3,800
889.8,200
905.1,5500
906.6,9400
913.7,9000
917.7,6200
919.7,3900
921.7,1800
922.1,300
923.2,10800
923.6,10700
924.2,4100
924.3,600
924.3,11300
924.7,6700
924.7,7700
924.8,11000
924.9,7000
925.3,8400
925.5,1500
925.7,1100
926.5,3800
926.6,200
927.3,2000
927.3,12100
927.4,9900
927.6,3600
927.8,6400
928.2,6000
928.3,500
928.3,4700
928.3,5700
928.3,10200
928.3,10500
928.3,11100
928.4,3000
928.4,4400
928.4,5600
928.4,8000
928.5,6300
928.6,4600
928.8,4000
929.1,5000
929.4,7300
929.5,4200
929.9,2800
929.9,3500
929.9,6500
930.6,1200
930.6,9200
930.9,8700
931,3400
931,10100
931.1,7500
931.2,11200
931.4,6100
931.5,3700
931.5,8900
931.6,8500
931.9,2100
932.6,2600
932.6,7100
933,1700
933.9,11800
934.2,9500
934.2,11700
934.4,10400
959.9,3100
964,2400
973.4,1900
976.2,7500
979,6200
981.4,9900
981.6,8800
981.7,6600
981.8,1200
982.1,8600
982.1,9700
982.1,12400
982.2,7700
982.2,11300
982.5,8000
982.8,5500
982.9,11000
983,10500
983.4,6400
983.7,4300
983.7,5600
983.7,10700
984.3,3200
984.5,12200
984.6,2800
984.6,7000
985.3,1600
985.3,9200
985.6,9800
985.8,3000
985.8,10200
985.9,300
985.9,8400
986,6100
986,7100
986.2,1700
986.2,8100
986.4,5400
986.5,500
986.7,4700
987.3,5300
987.5,200
987.6,7300
987.7,1100
987.8,1800
987.8,2200
987.8,5000
987.9,7900
988.1,1300
988.6,5100
989.1,4200
989.1,4400
989.1,6000
989.2,11700
989.3,2600
989.3,10000
989.3,12300
989.4,4600
989.5,6700
990.3,11800
990.9,11200
991.6,6800
992.2,9500
992.6,8500
993.4,1500
993.4,10400
993.7,7600
994.1,8700
996,2000
61,8550
62.1,7650
62.2,6450
62.3,650
63.3,6950
63.5,5650
63.6,9850
63.7,8050
63.7,12250
63.9,5750
64.2,10250
64.4,3250
64.6,9450
64.7,2250
65,6250
65.1,2150
65.2,1150
65.5,2750
65.5,4550
65.8,10850
65.9,8250
66,10550
66.1,10650
66.2,1850
66.2,3950
66.3,7950
66.3,9650
66.4,550
66.4,850
66.4,7550
66.4,7850
66.4,10050
66.4,10150
66.5,3450
66.7,5450
66.7,12150
66.8,6550
67,9050
67.1,11250
67.2,1050
67.2,12450
67.4,350
67.4,1350
67.4,10450
67.5,3550
67.7,4450
67.7,4750
67.9,3750
67.9,4050
68,2550
68.1,6650
68.2,50
68.2,5150
68.2,11150
68.3,1550
68.5,750
68.6,4850
68.7,8850
68.9,4150
69.1,3150
69.5,6850
70,5350
70.3,11950
71,6150
71.3,3050
71.4,8950
74.5,6350
75.5,12250
79.4,1950
97,5550
103.4,8650
106.4,7750
109.7,3450
111,3650
111,9350
111.2,5650
111.3,1550
111.4,50
112.5,950
112.5,6850
112.5,9250
112.6,1750
112.6,6050
112.6,7350
112.6,7450
112.7,2350
112.7,11050
113,2050
113.1,4150
113.2,5950
113.2,7850
113.4,10650
113.5,6450
113.7,2450
113.7,8150
114.4,6650
114.4,9850
114.4,12450
114.7,2150
114.7,6550
114.8,4350
115.3,7150
116.5,5350
118,3050
118.5,5450
119.6,9750
119.8,7550
120.2,11450
120.4,11750
120.9,5550
121.5,6350
122.5,5750
122.9,3950
123.1,5850
124.7,1350
125.1,6750
125.1,7950
125.1,11950
125.9,3150
126.2,2650
126.6,6950
126.7,2250
126.7,3550
126.7,9050
126.9,12050
127.6,11550
127.8,650
128.3,6550
128.3,7050
128.3,10150
128.3,10450
128.4,10350
128.5,4550
129.1,3250
129.8,1650
130.5,950
130.6,6850
131.2,9650
131.5,8250
153.2,4250
153.3,1050
153.7,4150
154,9950
154.2,3750
154.2,8850
154.2,12150
154.3,8650
154.7,350
154.7,5350
155,5650
155,12250
155.1,8550
155.4,5750
156,10550
156.2,3050
156.3,11150
156.6,5250
156.6,10050
157,4750
157.2,1950
157.2,5550
157.2,12450
