t,neuron
97.2,6450
97.4,7850
97.5,6050
97.5,8500
97.6,6600
98.2,6150
98.2,9450
98.3,2050
98.4,450
98.4,7950
98.5,4350
98.5,9750
98.6,5750
98.8,7750
98.8,9100
98.9,7250
99,4300
99.2,3550
99.2,9050
99.6,8250
99.6,8550
99.8,8400
100,4850
100,5950
100,8200
100.3,850
100.3,2000
100.3,8000
100.3,9400
100.6,8750
100.6,9300
100.7,4200
100.9,7450
100.9,9800
101,4150
101.1,4500
101.1,7700
101.2,2700
101.3,2400
101.3,2450
101.6,1300
101.6,5650
101.6,7600
101.7,3900
101.8,0
101.8,900
101.8,3200
102,7050
103,1450
103.2,9700
103.5,7900
104.1,3000
104.1,7800
104.2,200
104.2,1700
104.5,8150
104.7,4900
104.7,5800
104.8,100
104.9,5150
104.9,6500
104.9,8350
105.1,3100
105.2,6550
105.5,7650
105.6,4000
105.7,5850
105.8,8700
106.1,5350
106.4,6850
106.4,7300
107.2,550
107.3,350
107.4,6300
107.4,8900
107.5,3700
107.8,3850
107.8,4950
107.9,1800
108.1,1950
108.3,2200
108.3,6700
108.5,1750
108.9,3300
109,1000
109,2000
109,9150
109.1,4800
109.1,5200
109.1,8300
109.1,8600
109.2,7550
109.3,3650
109.3,8050
109.4,1650
109.4,6100
109.5,500
109.5,2300
109.5,4350
109.6,4300
109.7,2800
109.8,3050
109.8,3600
109.8,4750
109.8,9800
109.9,2550
110,5650
110,7750
110,7850
110.1,8800
110.2,5000
110.3,5050
110.3,6800
110.6,9950
110.7,6750
111,4400
111,9100
111.1,2950
111.1,9400
111.2,7650
111.2,8550
111.2,9350
111.3,2600
111.4,1500
111.6,4700
111.6,7000
111.8,9600
111.9,3400
112.2,7250
112.3,50
112.5,6200
112.6,750
112.9,5700
113,5250
113,9050
113.2,2750
113.2,5800
113.6,4450
113.7,8250
113.8,3750
113.9,7200
114.2,3900
115.1,8350
115.3,8000
115.4,2850
115.5,9500
116,8950
116.1,7600
116.3,2050
116.3,8200
116.4,3700
116.4,4650
116.5,5100
116.5,8800
116.6,1300
116.9,6900
116.9,8750
117.1,9750
117.2,7950
117.3,100
117.3,6500
117.3,7150
117.4,9700
117.5,1250
117.5,4550
117.5,6600
117.6,6350
117.6,9850
117.8,250
118.3,9450
118.5,1800
118.7,1400
118.7,2400
118.7,2550
118.8,7050
118.9,2500
118.9,5150
119,5850
119.2,7800
119.3,4950
119.3,5000
119.5,6100
119.5,7550
119.6,1900
119.8,1650
119.9,5350
119.9,5950
120.1,1000
120.1,1050
120.2,1550
120.2,7400
120.3,1350
120.5,4850
120.5,9000
120.6,200
120.6,550
120.6,2800
120.8,350
120.8,500
120.9,7300
121.1,3200
121.2,6450
121.3,5650
121.4,4300
121.6,1600
121.7,9300
121.8,3550
121.8,4050
121.9,6750
122,300
122,900
122,4200
122,4600
122.1,800
122.6,7650
122.8,7450
123,3100
123.2,8450
123.3,1450
123.3,3650
123.4,5700
123.6,8150
123.8,4500
124.1,5450
124.5,3300
124.5,7600
124.6,5900
124.7,6550
124.7,8700
124.7,9800
124.8,6300
124.8,6650
124.8,9050
124.8,9150
124.9,8550
125.2,450
125.2,6800
125.5,1150
125.5,4400
125.6,7100
125.6,9100
125.7,1750
125.7,8600
125.8,5750
126,4000
126,7850
126.1,4350
126.2,4800
126.2,8850
126.3,5200
126.3,6100
126.3,7950
126.3,8300
127.1,8050
127.3,3050
127.3,9250
127.9,5500
128,750
128,5800
128.3,2350
128.3,8650
128.4,8400
128.9,2950
129.3,7250
129.5,1250
129.8,2900
129.9,3700
130,5000
130.1,1300
130.4,8750
131,850
131,7900
131.1,5650
131.3,8000
131.4,9950
131.6,7650
131.7,3450
131.8,1100
131.8,2050
131.9,1050
131.9,1900
131.9,6150
132.1,2650
132.1,5250
132.3,9450
132.3,9850
132.4,0
132.4,2150
132.5,3650
132.5,6600
132.6,8800
132.8,5350
133,150
133.1,1800
133.1,5950
133.2,7000
133.4,4250
133.4,8100
133.5,100
133.5,500
133.5,2400
133.5,6750
133.5,8250
133.6,2750
133.6,7550
133.7,4450
133.7,4600
133.7,9300
133.8,350
133.8,1750
133.8,5150
133.8,9400
134,8350
134.1,2800
134.1,6900
134.2,2850
134.2,8200
134.3,5850
134.3,9500
134.4,5600
134.5,4950
134.5,8550
134.7,4300
134.8,9050
134.9,600
135.3,50
135.8,2550
135.8,3750
136.4,6450
136.6,7050
137.3,3900
137.3,7600
137.3,8050
137.4,3550
137.6,3600
137.6,9100
137.8,250
137.8,2450
137.9,2200
137.9,4800
137.9,8150
138,7450
