t,neuron
165,6500
165.1,1850
165.1,5050
165.1,5350
165.2,7600
165.4,450
165.4,8850
165.4,9750
165.6,900
165.6,7000
165.7,3100
165.9,550
165.9,2400
165.9,4400
165.9,9850
166,6100
166,6300
166.1,9500
166.3,7250
166.4,9950
166.9,3550
167,9250
167.1,1250
167.1,5150
167.1,5450
167.1,7850
167.2,100
167.2,2700
167.2,3700
167.2,4300
167.3,5750
167.4,9450
167.6,1000
167.6,9050
167.9,7550
168,1900
168.1,2750
168.1,9100
168.2,3900
168.2,8900
168.4,9800
168.7,7900
169.1,1300
169.2,5800
169.2,6750
169.2,8100
170.1,2150
170.2,1050
170.2,4200
170.6,4950
171,200
171.4,7650
171.5,2800
171.5,8150
172,500
172,8200
172.2,6950
172.4,1450
172.4,8050
172.5,7750
172.9,5900
172.9,8250
173.2,4800
173.3,3300
173.4,3650
173.4,5350
173.4,8600
173.5,600
173.6,5000
173.6,8800
173.7,1800
173.8,2600
173.8,2950
174,1700
174.1,1150
174.1,5650
174.1,6600
174.2,750
174.2,2850
174.2,3250
174.4,3700
174.4,4350
174.5,5600
174.5,6150
174.5,9000
174.6,2000
174.6,6900
174.6,8000
174.7,7000
174.7,9150
174.8,3600
174.9,4500
174.9,9850
175,4450
175.1,1750
175.3,2050
175.3,5700
175.7,5950
176.2,2750
176.5,1400
176.5,3050
176.5,5850
176.5,8750
176.7,3200
177.1,7550
177.3,4300
177.4,450
177.4,8350
177.9,4750
178,7050
178.4,8300
178.5,9400
178.7,350
178.8,9300
179,8400
179.1,4850
179.1,5100
179.1,6700
179.1,7300
179.1,8500
179.2,3750
179.2,6800
179.8,4250
179.9,3400
179.9,3900
180.2,0
180.3,850
180.4,1300
180.4,5350
180.4,6100
180.6,7450
180.8,5800
180.9,8550
181.2,50
181.2,7700
181.4,2500
181.4,3100
181.6,7850
181.7,5500
181.8,7250
181.8,7950
181.9,5000
182.6,1950
182.7,4200
182.9,6300
183,1650
183,4900
183,7600
183.1,6500
183.4,150
183.4,6450
183.4,8450
183.4,9600
183.5,7650
183.7,5200
183.8,3550
183.9,5250
184,650
184.3,1000
184.3,1250
184.4,5600
184.4,9450
184.6,5650
184.6,9850
184.8,4950
184.9,9050
185.2,100
185.2,300
185.2,1050
185.2,9800
185.3,200
185.3,4550
185.3,4650
185.4,2250
185.4,4350
185.4,8700
185.6,8650
185.8,1750
185.9,2200
185.9,3650
185.9,4600
186,9150
186.6,1100
186.6,2650
186.6,3700
186.7,5450
186.7,9500
186.9,6650
187,8000
187.1,4300
187.2,2100
187.2,8600
187.3,4100
187.4,5150
187.4,6750
187.6,4000
187.8,4500
187.8,9550
187.9,1800
188.2,4400
188.2,8750
188.3,3400
188.3,5750
188.3,8050
188.3,9750
188.5,900
188.5,8350
188.9,8150
188.9,9950
189,2050
189.3,2900
189.5,6800
190.1,3050
190.2,2550
190.3,5100
190.4,7900
190.7,2450
190.7,2950
190.9,350
190.9,1900
191,4200
191.1,5350
191.4,1450
191.4,8400
191.5,550
191.7,3200
191.7,7600
192,7000
192.1,1000
192.2,5800
192.2,6600
192.3,8900
192.4,5400
192.5,950
192.5,5650
192.5,8550
192.7,1750
192.7,2750
192.8,3000
192.9,1050
192.9,9050
193,2000
193,8950
193.1,4150
193.1,6850
193.2,9100
193.3,1300
193.3,5200
193.4,5850
193.4,5950
193.4,6300
193.5,750
193.5,5300
193.5,7050
193.6,7850
193.7,50
193.7,5700
194.4,7550
194.5,7200
194.6,8300
194.7,6100
194.7,7650
194.9,7450
195.1,7100
195.6,8000
196,2850
196.4,7950
196.8,5050
196.8,7250
196.9,8800
196.9,8850
196.9,9700
197,1150
197.1,7300
197.4,4800
197.7,850
197.7,5000
197.8,2150
197.8,6550
197.8,8250
197.9,2500
198.1,0
198.2,1600
198.2,3900
198.2,8350
198.3,3300
198.4,450
198.4,9500
198.5,3750
198.5,8600
198.5,9800
198.7,3100
198.7,4450
198.7,7400
199,1650
199.1,4550
199.2,1700
199.2,3600
199.2,3850
199.3,600
199.3,1800
199.4,9300
199.5,4900
199.6,6750
199.8,1250
199.9,4950
199.9,7750
200,9450
200.5,5900
200.6,5350
200.9,5800
201,3700
201,5650
201.1,4850
201.2,100
201.2,7800
201.3,8050
201.4,6700
201.5,6450
201.5,8750
201.6,5600
201.8,200
202,4400
202,7150
202.1,250
202.1,6200
202.1,8550
202.1,9050
202.2,3550
202.3,8500
202.4,7700
202.6,2800
202.7,9550
202.9,4000
203,5150
203.1,8700
203.3,6800
203.8,900
204,4350
204.1,3650
204.4,2950
204.8,7650
205.1,1400
205.2,8200
205.3,4300
205.7,5500
205.9,7050
206.2,1300
206.4,4600
206.7,8150
207.1,7600
207.2,1950
207.3,1750
207.3,6750
207.4,800
207.4,5450
207.6,8400
207.6,9800
207.7,2000
207.8,4150
207.9,1200
208,3050
208.2,150
208.3,8800
208.5,2050
208.5,5700
208.5,6100
208.6,7200
208.6,7550
208.7,2600
208.7,8300
208.8,5250
208.8,7250
208.9,6500
208.9,7000
208.9,8450
209,2200
209.1,3200
209.1,9600
209.2,350
209.2,1900
209.2,9150
209.3,550
209.3,4450
209.3,5200
209.3,6300
209.3,7300
209.4,1850
209.4,6850
209.4,9850
209.5,650
209.7,1350
209.8,1000
209.8,2900
209.8,3900
209.8,8600
209.9,7850
210,5100
210,7900
210.3,1550
210.3,3000
210.3,8350
210.8,3700
210.8,3850
210.8,6900
211.2,2800
211.4,2350
211.4,4050
211.5,2450
211.5,9100
211.6,4800
211.6,6600
211.7,2500
211.8,5000
211.8,6800
211.9,250
212,7450
212,7650
212.1,6350
212.2,1800
212.2,4500
212.5,2400
212.5,4550
212.5,5650
212.5,8750
212.9,8500
213.2,4950
213.3,8150
213.3,9050
213.9,750
213.9,2850
213.9,6450
214.1,1050
214.7,2950
215.3,5350
215.7,1300
216.4,450
216.7,9400
216.8,4650
216.8,5150
216.9,1000
217,50
217.1,8550
217.2,5800
217.3,7250
217.7,3550
218.1,1150
218.2,1450
218.4,100
218.4,3400
219,9300
219.1,6300
219.5,6750
219.5,8200
219.7,3650
219.8,200
219.8,4300
220.6,500
220.8,4200
220.9,9500
221,850
221.2,4850
221.2,5700
221.5,3750
221.5,5750
221.5,8050
221.9,4250
222,1750
222,3450
222,5950
222,7300
222.1,1250
222.1,7650
222.1,8800
222.3,6950
222.4,3300
222.5,9950
222.6,2550
222.6,4000
222.6,9750
222.6,9800
222.7,400
222.7,750
222.7,1700
222.7,5000
222.7,5850
222.7,7700
222.7,8700
222.8,2300
222.9,3600
222.9,5050
222.9,9850
223.1,150
223.1,3050
223.1,8350
223.1,8900
223.1,9550
223.2,7050
223.2,8950
223.3,7550
223.4,5650
223.5,6100
223.5,7950
223.6,7850
223.6,8000
223.7,900
223.7,3100
223.7,4350
223.7,5500
223.8,5200
223.9,3900
223.9,7200
223.9,7600
224,9200
224.1,7800
224.2,1400
224.2,4750
224.2,4950
224.2,8150
224.3,1650
224.5,6150
225,3200
225.2,2750
225.4,9450
225.6,8250
225.6,9050
226.3,8750
226.5,1300
226.6,350
226.9,8600
227,2800
228,2950
228.3,2650
229,100
229,6300
229.2,1050
229.4,200
229.4,4600
229.4,4650
229.9,5800
230.3,5350
230.4,450
230.4,6550
230.5,9150
230.6,4400
230.8,1800
230.8,2850
230.8,8550
230.9,3300
231,5100
231.2,3700
231.4,8400
231.6,6600
231.7,4950
231.7,8300
231.8,550
231.8,3650
