t,neuron
127.2,1400
127.3,4500
127.4,1350
127.6,9950
127.7,6450
128.1,850
128.3,5350
128.4,1600
128.6,4350
129,350
129,8950
129.2,9500
129.3,1800
129.3,4250
129.4,8400
129.7,3650
129.7,4000
129.7,9600
129.8,6100
129.8,7800
130,150
130,6550
130,8150
130.7,5150
130.8,1750
130.8,9850
130.9,2350
130.9,6700
131,8450
131.2,5800
131.2,9050
131.3,4300
131.3,4800
131.4,8300
131.5,5000
131.6,7650
131.6,8600
131.8,2800
132,8100
132.2,2900
132.2,5950
132.3,1250
132.3,1300
132.3,2050
132.4,750
132.4,7600
132.4,9450
132.8,300
132.9,1950
132.9,2550
133.4,8800
133.7,3600
133.8,1050
134.3,3700
134.3,5850
134.6,2750
134.7,5700
134.8,7250
135,3450
135.1,6650
135.2,6600
135.2,8250
135.2,8550
135.2,8750
135.3,8900
135.4,250
135.4,4400
135.5,50
135.5,3900
135.5,5250
135.5,5750
135.5,9300
135.5,9750
135.6,8000
135.7,1100
135.7,7050
135.7,9700
135.8,7550
135.9,2650
135.9,5600
136,3200
136.1,2950
136.1,6750
136.1,6800
136.1,7300
136.3,550
136.5,7750
136.6,2100
136.7,1000
136.8,5900
136.9,7850
137,4950
137.1,2850
137.2,9400
137.6,3050
137.6,6200
137.7,850
137.8,4050
137.8,7900
137.9,0
137.9,5350
138,2600
138.1,4200
138.1,4750
138.3,4100
138.5,6300
139,6450
139.1,500
139.1,8050
139.2,5650
139.2,7650
139.3,2200
139.4,200
139.6,7000
139.9,3300
139.9,5100
139.9,6500
140,3750
140,9550
140.2,4450
140.3,9100
140.4,4650
140.4,6900
140.4,9800
140.5,600
140.5,5450
140.6,3100
140.7,1150
140.7,1800
140.7,9150
140.7,9250
140.8,8700
140.9,100
141.1,2500
141.1,8350
141.2,1300
141.2,1400
141.3,8400
141.4,4500
141.4,6950
141.9,4300
141.9,4800
142.3,5800
142.8,3550
143,350
143.5,1450
143.8,5200
144,4600
144.5,4000
144.9,2900
145,8300
145.3,3650
145.4,800
145.4,2050
145.5,1700
145.5,4350
145.6,1900
145.6,4550
145.7,7700
145.8,1750
145.9,5050
146.1,8200
146.1,9350
146.3,7900
146.3,8650
146.4,8150
146.5,2150
146.5,5950
146.6,7800
146.8,4850
146.9,7550
147.1,3000
147.1,3900
147.3,1250
147.6,8800
147.7,2400
148,8600
148.4,7300
148.5,5000
148.5,7950
148.8,9050
148.9,1000
148.9,6650
148.9,9300
149,5350
149,7450
149.1,5250
149.1,5800
149.1,8550
149.2,4950
149.3,1800
149.3,1850
149.3,8950
149.6,2800
149.6,9800
149.7,9450
149.8,2650
149.9,1150
150.5,5650
150.8,2450
151,900
151,7150
151.9,8250
152.3,3700
152.3,7600
152.4,2000
152.4,5750
152.4,6850
152.4,8750
152.5,50
152.5,350
152.5,550
152.5,9850
152.6,2950
152.9,5700
153.1,150
153.1,4250
153.4,3600
153.6,7250
153.6,9100
153.8,8850
153.9,5100
153.9,8000
154,7650
154,8400
154.1,3200
154.2,3100
154.2,8350
154.5,1350
154.7,3300
154.9,4450
155.2,9950
155.3,1650
155.3,5500
155.3,8700
155.4,100
155.4,4500
155.4,6150
155.4,6450
155.5,450
155.5,500
155.5,8450
155.6,4150
155.6,4400
155.6,4800
155.6,5000
155.6,6100
155.7,2800
155.7,5400
155.8,200
155.8,6300
156.1,1300
156.1,5450
156.1,9500
156.2,1400
156.2,1700
156.3,5600
156.4,5800
156.5,5200
156.6,4350
156.6,6750
156.8,4200
156.9,750
157,1000
157.2,4600
157.9,5850
158.5,3750
158.9,2750
159.3,7950
159.3,9550
159.6,8500
159.8,5150
159.8,7050
159.9,9600
160.1,7750
160.2,3650
160.2,8300
160.4,7550
160.9,7900
161,4750
161.1,8550
161.1,8600
161.3,8900
161.3,9750
161.4,5350
161.5,650
161.5,9700
161.6,2850
161.7,6600
161.7,6700
161.8,1450
161.8,4000
161.8,9450
161.9,5950
161.9,7850
162.2,9800
162.3,3450
162.4,1950
162.4,4650
162.4,4950
162.6,4300
162.6,5800
162.7,1750
162.7,3900
162.8,7400
163,7300
163.1,4700
163.2,8050
163.4,5650
163.5,2950
163.7,6900
163.8,4600
163.9,2500
164,8750
164.4,1600
164.4,7700
164.4,9400
164.7,6050
164.8,1250
165.2,6800
165.3,4850
165.3,7650
165.4,5050
165.7,7000
165.7,8150
165.8,3400
166.4,850
166.5,7600
166.7,7250
167,4200
167.2,3050
167.3,2200
167.3,2900
167.4,1800
167.4,6300
167.7,2400
167.7,7450
167.7,8250
167.7,8350
167.9,6550
167.9,7800
168.3,200
168.3,8450
168.5,9250
168.8,5700
169.3,1300
169.5,3550
169.6,4900
169.7,3700
170,6100
170,6500
170,6750
170.1,7050
170.4,2800
170.5,100
170.5,4500
170.7,9850
171,500
171,4650
171.2,300
171.2,7300
171.3,8600
171.4,2050
171.4,6850
171.4,8550
171.5,1550
171.5,5800
171.8,900
171.9,9300
172.1,1100
172.4,5350
172.7,9050
172.8,8000
172.9,8200
173.2,4050
173.3,6350
173.4,1000
173.4,5000
173.5,5900
173.7,2850
174,8100
174.1,8800
174.2,1450
174.3,4250
174.3,4800
174.4,7650
174.5,1050
174.5,2750
174.5,5950
174.5,6600
174.5,7700
174.5,8400
174.7,1700
174.7,2650
174.7,9450
174.9,5850
175,0
175,1150
175,8750
175.1,5450
175.3,3300
175.4,5650
175.5,8850
175.6,5750
175.9,4450
176.1,450
176.1,7950
176.2,2500
176.2,5500
176.2,8500
176.3,550
176.3,2600
176.3,2700
176.4,7550
176.6,1300
176.8,7850
176.9,6450
177,7600
177.1,9100
177.4,3200
177.4,9150
177.5,1650
177.5,3100
177.6,2450
178.2,4400
178.5,4300
178.5,9950
178.6,3650
179.1,4350
179.1,8150
179.2,9200
179.5,1800
179.5,5100
179.7,750
179.8,1950
180.1,5150
180.2,1850
180.2,8300
180.3,4950
180.3,6650
180.4,7450
180.4,8350
180.5,3750
180.6,8050
180.7,50
180.7,1750
180.7,6950
181,5350
181.2,8550
181.4,3550
181.5,7250
181.6,4550
181.7,3900
181.7,4600
181.8,2300
181.8,3050
181.8,9500
181.9,9800
182,5600
182.1,2050
182.2,4000
182.5,2150
182.6,8450
182.7,5200
182.8,600
182.8,5250
182.9,6800
183,8950
183.1,6750
183.1,7900
183.2,1900
183.2,4200
183.2,6300
183.4,7050
183.6,1000
183.6,4650
183.7,200
183.7,6200
183.7,9400
183.8,3700
183.8,7000
183.8,9850
183.9,150
183.9,350
183.9,8800
184,4500
184,5800
184,6900
184.1,5400
184.2,8700
184.4,4750
184.6,900
184.7,8750
184.8,7650
184.9,100
185,4850
185.1,1250
185.1,5700
185.1,9700
185.2,9050
185.2,9300
185.3,2800
185.5,7550
185.7,5750
185.9,7300
186.1,3600
186.1,8400
186.2,0
186.6,7600
186.8,2550
187.7,8050
187.8,5350
188,1350
188.1,5000
188.3,3400
188.4,5650
188.6,1300
188.6,2950
188.9,1400
188.9,6100
189,1450
189.5,550
189.5,3100
189.5,8000
189.5,9600
189.6,2200
189.6,3850
189.6,4100
189.6,7200
189.6,7750
189.7,2100
189.7,2900
189.7,5100
189.8,8350
189.8,8600
189.8,8900
190,4300
190.3,5900
190.4,8850
190.5,3000
190.5,3200
190.5,7850
190.6,8550
190.8,850
191,9450
191.1,5500
191.2,2750
191.2,4000
191.2,8250
191.9,5800
191.9,5950
192.3,4350
192.5,1750
193,250
193.8,1800
194.3,4200
194.5,9050
194.8,2350
194.8,9300
194.9,4800
195,5150
195.1,4450
195.2,5450
195.3,1050
195.3,4900
195.8,2850
195.9,4950
195.9,7700
195.9,9750
196.1,6450
196.1,7950
196.4,4500
196.4,5700
196.4,6900
196.5,2450
196.6,5650
196.6,5850
196.6,7100
196.9,4600
197.1,5200
197.2,450
197.2,6700
197.2,7250
197.3,6550
197.4,5600
197.4,9000
197.5,500
197.5,7850
197.5,9500
197.5,9800
197.6,1650
197.6,6300
197.6,8400
197.8,5050
197.8,7650
197.8,8250
197.8,9250
197.9,4150
197.9,8750
198,3700
198.1,3900
198.1,8300
198.2,2400
198.2,8500
198.2,9100
198.2,9850
198.4,3650
198.6,6600
198.6,7900
