t,neuron
364,7850
364.2,4050
364.4,3950
364.6,650
364.6,9150
364.7,8050
364.7,11050
364.8,3150
365,2150
365.2,8150
365.8,3450
365.9,250
365.9,3350
365.9,4750
366.3,5850
366.3,7250
366.4,2950
367.2,3750
367.5,7150
367.5,11750
368.5,2050
370.5,4150
370.7,4850
370.8,5950
370.8,10050
371.5,9050
371.5,10950
371.6,2450
371.9,10750
372,7550
372.1,11350
372.7,2750
373.2,11150
373.4,4350
373.4,12250
373.6,4550
374,4650
374,6350
374,8650
374,10850
374.1,1650
374.1,8450
374.1,12350
374.3,5350
374.8,7450
374.9,5450
375.1,750
375.1,6250
375.1,8750
375.3,2650
375.4,10150
375.5,12450
376,7650
376.4,3450
376.5,8950
376.7,1950
377.4,7850
378.5,6150
378.6,3950
378.6,9950
378.8,50
378.8,10350
378.9,12050
379,650
379.1,6050
379.1,9650
379.2,2450
379.3,1850
379.3,10250
379.3,11550
379.4,7050
379.6,3750
379.9,11050
380.2,4450
380.4,1250
380.6,2350
380.6,11950
380.8,6850
380.9,10750
381,10450
381.1,9450
381.2,5150
381.5,5750
381.5,8050
382,2150
382.2,9150
382.2,11750
382.4,9850
382.6,4150
382.9,10550
383.1,5050
383.4,3550
383.4,7750
383.6,5550
383.7,850
383.7,4350
383.8,9350
383.9,1150
384.2,10650
384.5,450
384.5,3250
384.5,6950
384.8,10150
384.9,2950
385,2050
385.3,1450
385.4,4650
385.5,5650
385.7,9050
386,2850
386.1,950
386.4,1550
387,10950
387.2,3650
387.3,5850
387.8,6550
388.5,4850
388.6,11450
388.7,11850
388.9,10850
389.1,8550
389.3,2550
389.3,4950
389.4,4550
389.4,8150
389.6,12250
390.2,5450
390.2,7250
390.5,10350
390.6,7850
390.7,350
390.7,9450
390.8,3950
391.1,12450
391.2,5350
391.4,6450
392.3,550
392.3,2450
392.3,3750
392.4,2650
392.7,750
392.8,3050
393.1,3450
393.1,5150
393.4,6050
393.5,8750
394.2,1350
394.3,2750
394.7,11050
395.7,8450
396.8,1250
397.9,12050
398,50
398.2,250
398.2,2050
398.4,9950
398.5,4150
398.6,8050
398.8,5950
399,5750
399.1,4350
399.2,3950
399.2,8150
399.3,10950
399.6,3450
399.6,9050
399.8,6250
399.8,6850
399.8,10250
400,2350
400,3550
400,9150
400.6,450
400.7,1650
400.9,9650
401,11150
401.1,4650
401.2,11750
401.8,4550
401.8,7150
401.8,11950
401.9,5550
402.6,8650
402.6,12250
402.8,3250
402.8,8950
404,2450
405.5,2850
405.9,7550
405.9,7650
406,7050
406,9350
406.2,11550
406.8,4150
407.1,3050
407.5,5150
407.6,11050
407.8,550
408,7850
408.2,2050
408.2,8050
408.6,3450
409.3,5450
409.4,3350
409.4,6050
409.7,12450
410.5,6950
411.1,850
411.2,2750
411.3,8350
411.8,4350
411.9,250
412,2650
412.1,5050
412.2,6650
412.6,650
413,12250
413.2,9150
413.3,3950
413.4,50
413.5,3750
413.6,2550
413.6,2850
413.6,7250
413.6,10550
413.7,5350
413.7,8150
413.8,6250
413.8,8750
413.8,10850
414.1,9850
414.5,2450
414.5,11350
414.6,4850
414.7,6850
414.9,4550
414.9,7450
415.4,2050
415.5,7750
415.5,10750
415.6,350
415.6,1650
415.7,11050
415.9,6550
416,4950
416,11750
416,11850
416.1,9050
416.2,9450
416.3,5550
416.3,10250
416.6,9950
416.7,4650
417.6,5850
417.9,8950
418.5,3550
418.9,2350
418.9,4450
419.3,5150
419.3,8450
419.5,5450
419.5,8550
421.1,12050
421.2,10450
421.3,10950
421.6,6150
421.8,5350
421.9,4750
422.1,2950
422.1,12350
422.3,7050
422.6,6050
423.2,5750
423.4,3450
423.9,8050
424.8,1650
424.9,2050
425,1150
425.1,2150
425.1,4150
425.8,11550
426.1,9550
426.2,10650
426.4,6450
426.4,7650
426.4,10250
426.6,8150
426.6,11950
426.6,12450
426.7,4650
427,350
427.2,3650
427.8,750
427.9,6150
427.9,6850
428,1250
428,5050
428,5450
428.1,2550
428.1,7850
428.2,1450
428.4,9350
428.4,11450
430.1,10150
430.9,9150
431.4,650
432.2,11150
432.8,9950
433,3950
433.2,9050
433.2,10950
433.3,2650
433.5,8650
433.5,11050
433.7,10350
433.9,2450
433.9,3450
434.2,5850
434.3,2850
434.3,12050
434.7,4550
435.1,4350
435.7,3150
435.7,3550
436.1,2350
436.6,8150
436.6,10250
436.9,3750
438.5,2950
438.6,2750
438.7,3050
438.8,4650
439.5,2050
439.9,11850
440,9450
440.2,4550
440.3,3250
440.4,4850
440.5,12250
440.6,5350
440.7,7950
440.8,5950
440.8,8050
440.9,5450
441,5750
441.3,6050
441.3,9250
441.4,5650
441.6,7250
441.7,4950
441.9,9350
442.2,11750
442.3,1250
442.5,9150
442.6,50
442.6,1350
442.6,5150
442.6,8950
442.7,6150
442.7,7450
442.7,9850
442.7,11450
